store_number,mgmtintname,ip_address,brand
IBR-BWW-00437_2,LAN,10.97.137.1,BWW
IBR-BWW-00438_2,LAN,10.97.138.1,BWW
IBR-BWW-00439_2,LAN,10.97.139.1,BWW
IBR-BWW-00443_2,LAN,10.97.143.1,BWW
IBR-BWW-00444_2,LAN,10.97.144.1,BWW
IBR-BWW-00446_2,LAN,10.97.146.1,BWW
IBR-BWW-00447_2,LAN,10.97.147.1,BWW
IBR-BWW-00448_2,LAN,10.97.148.1,BWW
IBR-BWW-00452_2,LAN,10.97.151.1,BWW
IBR-BWW-00453_2,LAN,10.97.152.1,BWW
IBR-BWW-00454_2,LAN,10.97.153.1,BWW
IBR-BWW-00455_2,LAN,10.97.154.1,BWW
IBR-BWW-00456_2,LAN,10.97.155.1,BWW
IBR-BWW-00457_2,LAN,10.97.156.1,BWW
IBR-BWW-00459_2,LAN,10.97.158.1,BWW
IBR-BWW-00460_2,LAN,10.97.159.1,BWW
IBR-BWW-00461_2,LAN,10.97.160.1,BWW
IBR-BWW-00462_2,LAN,10.97.161.1,BWW
IBR-BWW-00463_2,LAN,10.97.162.1,BWW
IBR-BWW-00465_2,LAN,10.97.164.1,BWW
IBR-BWW-00466_2,LAN,10.97.165.1,BWW
IBR-BWW-00468_2,LAN,10.97.167.1,BWW
IBR-BWW-00469_2,LAN,10.97.168.1,BWW
IBR-BWW-00470_2,LAN,10.97.169.1,BWW
IBR-BWW-00471_2,LAN,10.97.170.1,BWW
IBR-BWW-00472_2,LAN,10.97.171.1,BWW
IBR-BWW-00473_2,LAN,10.97.172.1,BWW
IBR-BWW-00474_2,LAN,10.97.173.1,BWW
IBR-BWW-00476_2,LAN,10.97.175.1,BWW
IBR-BWW-00478_2,LAN,10.97.177.1,BWW
IBR-BWW-00479_2,LAN,10.97.178.1,BWW
IBR-BWW-00481_2,LAN,10.97.180.1,BWW
IBR-BWW-00482_2,LAN,10.97.181.1,BWW
IBR-BWW-00483_2,LAN,10.97.182.1,BWW
IBR-BWW-00484_2,LAN,10.97.183.1,BWW
IBR-BWW-00485_2,LAN,10.97.184.1,BWW
IBR-BWW-00486_2,LAN,10.97.185.1,BWW
IBR-BWW-00488_2,LAN,10.97.187.1,BWW
IBR-BWW-00489_2,LAN,10.97.188.1,BWW
IBR-BWW-00490_2,LAN,10.97.189.1,BWW
IBR-BWW-00491_2,LAN,10.97.190.1,BWW
IBR-BWW-00492_2,LAN,10.97.191.1,BWW
IBR-BWW-00495_2,LAN,10.97.194.1,BWW
IBR-BWW-00496_2,LAN,10.97.195.1,BWW
IBR-BWW-00498_2,LAN,10.97.197.1,BWW
IBR-BWW-00500_2,LAN,10.97.199.1,BWW
IBR-BWW-00503_2,LAN,10.97.202.1,BWW
IBR-BWW-00505_2,LAN,10.97.204.1,BWW
IBR-BWW-00506_2,LAN,10.97.205.1,BWW
IBR-BWW-00508_2,LAN,10.97.207.1,BWW
IBR-BWW-00509_2,LAN,10.97.208.1,BWW
IBR-BWW-00510_2,LAN,10.97.209.1,BWW
IBR-BWW-00511_2,LAN,10.97.210.1,BWW
IBR-BWW-00512_2,LAN,10.97.211.1,BWW
IBR-BWW-00513_2,LAN,10.97.212.1,BWW
IBR-BWW-00515_2,LAN,10.97.214.1,BWW
IBR-BWW-00516_2,LAN,10.97.215.1,BWW
IBR-BWW-00517_2,LAN,10.97.216.1,BWW
IBR-BWW-00518_2,LAN,10.97.217.1,BWW
IBR-BWW-00519_2,LAN,10.97.218.1,BWW
IBR-BWW-00520_2,LAN,10.97.219.1,BWW
IBR-BWW-00521_2,LAN,10.97.220.1,BWW
IBR-BWW-00522_2,LAN,10.97.221.1,BWW
IBR-BWW-00524_2,LAN,10.97.223.1,BWW
IBR-BWW-00525_2,LAN,10.97.224.1,BWW
IBR-BWW-00526_2,LAN,10.97.225.1,BWW
IBR-BWW-00527_2,LAN,10.97.226.1,BWW
IBR-BWW-00528_2,LAN,10.97.227.1,BWW
IBR-BWW-00529_2,LAN,10.97.228.1,BWW
IBR-BWW-00530_2,LAN,10.97.229.1,BWW
IBR-BWW-00531_2,LAN,10.97.230.1,BWW
IBR-BWW-00532_2,LAN,10.97.231.1,BWW
IBR-BWW-00533_2,LAN,10.97.232.1,BWW
IBR-BWW-00535_2,LAN,10.97.234.1,BWW
IBR-BWW-00538_2,LAN,10.97.237.1,BWW
IBR-BWW-00539_2,LAN,10.97.238.1,BWW
IBR-BWW-00540_2,LAN,10.97.239.1,BWW
IBR-BWW-00541_2,LAN,10.97.240.1,BWW
IBR-BWW-00542_2,LAN,10.97.241.1,BWW
IBR-BWW-00545_2,LAN,10.97.244.1,BWW
IBR-BWW-00546_2,LAN,10.97.245.1,BWW
IBR-BWW-00548_2,LAN,10.97.247.1,BWW
IBR-BWW-00549_2,LAN,10.97.248.1,BWW
IBR-BWW-00550_2,LAN,10.97.249.1,BWW
IBR-BWW-00551_2,LAN,10.97.250.1,BWW
IBR-BWW-00552_2,LAN,10.97.251.1,BWW
IBR-BWW-00553_2,LAN,10.97.252.1,BWW
IBR-BWW-00554_2,LAN,10.97.253.1,BWW
IBR-BWW-00555_2,LAN,10.97.254.1,BWW
IBR-BWW-00556_2,LAN,10.97.255.1,BWW
IBR-BWW-00557_2,LAN,10.98.1.1,BWW
IBR-BWW-00558_2,LAN,10.98.2.1,BWW
IBR-BWW-00559_2,LAN,10.98.3.1,BWW
IBR-BWW-00560_2,LAN,10.98.4.1,BWW
IBR-BWW-00561_2,LAN,10.98.5.1,BWW
IBR-BWW-00562_2,LAN,10.98.6.1,BWW
IBR-BWW-00563_2,LAN,10.98.7.1,BWW
IBR-BWW-00564_2,LAN,10.98.8.1,BWW
IBR-BWW-00566_2,LAN,10.98.10.1,BWW
IBR-BWW-00567_2,LAN,10.98.11.1,BWW
IBR-BWW-00568_2,LAN,10.98.12.1,BWW
IBR-BWW-00569_2,LAN,10.98.13.1,BWW
IBR-BWW-00570_2,LAN,10.98.14.1,BWW
IBR-BWW-00571_2,LAN,10.98.15.1,BWW
IBR-BWW-00572_2,LAN,10.98.16.1,BWW
IBR-BWW-00573_2,LAN,10.98.17.1,BWW
IBR-BWW-00574_2,LAN,10.98.18.1,BWW
IBR-BWW-00575_2,LAN,10.98.19.1,BWW
IBR-BWW-00576_2,LAN,10.98.20.1,BWW
IBR-BWW-00577_2,LAN,10.98.21.1,BWW
IBR-BWW-00578_2,LAN,10.98.22.1,BWW
IBR-BWW-00579_2,LAN,10.98.23.1,BWW
IBR-BWW-00580_2,LAN,10.98.24.1,BWW
IBR-BWW-00582_2,LAN,10.98.26.1,BWW
IBR-BWW-00583_2,LAN,10.98.27.1,BWW
IBR-BWW-00584_2,LAN,10.98.28.1,BWW
IBR-BWW-00585_2,LAN,10.98.29.1,BWW
IBR-BWW-00586_2,LAN,10.98.30.1,BWW
IBR-BWW-00587_2,LAN,10.98.31.1,BWW
IBR-BWW-00588_2,LAN,10.98.32.1,BWW
IBR-BWW-00590_2,LAN,10.98.34.1,BWW
IBR-BWW-00591_2,LAN,10.98.35.1,BWW
IBR-BWW-00592_2,LAN,10.98.36.1,BWW
IBR-BWW-00593_2,LAN,10.98.37.1,BWW
IBR-BWW-00594_2,LAN,10.98.38.1,BWW
IBR-BWW-00595_2,LAN,10.98.39.1,BWW
IBR-BWW-00596_2,LAN,10.98.40.1,BWW
IBR-BWW-00597_2,LAN,10.98.41.1,BWW
IBR-BWW-00598_2,LAN,10.98.42.1,BWW
IBR-BWW-00599_2,LAN,10.98.43.1,BWW
IBR-BWW-00600_2,LAN,10.98.44.1,BWW
IBR-BWW-00601_2,LAN,10.98.45.1,BWW
IBR-BWW-00602_2,LAN,10.98.46.1,BWW
IBR-BWW-00603_2,LAN,10.98.47.1,BWW
IBR-BWW-00604_2,LAN,10.98.48.1,BWW
IBR-BWW-00605_2,LAN,10.98.49.1,BWW
IBR-BWW-00607_2,LAN,10.98.51.1,BWW
IBR-BWW-00608_2,LAN,10.98.52.1,BWW
IBR-BWW-00609_2,LAN,10.98.53.1,BWW
IBR-BWW-00610_2,LAN,10.98.54.1,BWW
